reboot   system boot  5.8.0-25-generic Sun Mar 21 22:43   still running
reboot   system boot  5.8.0-25-generic Sun Mar 21 14:00 - 21:40  (07:39)
reboot   system boot  5.8.0-25-generic Sat Mar 20 10:49 - 13:00 (1+02:10)
reboot   system boot  5.8.0-25-generic Fri Mar 19 10:21 - 09:49  (23:28)
reboot   system boot  5.8.0-25-generic Tue Mar 16 10:47 - 09:20 (2+22:33)
reboot   system boot  5.8.0-25-generic Sun Mar 14 10:24 - 09:45 (1+23:21)
reboot   system boot  5.8.0-25-generic Sat Mar 13 10:39 - 09:24  (22:44)
reboot   system boot  5.8.0-25-generic Fri Mar 12 12:23 - 09:39  (21:15)
reboot   system boot  5.8.0-25-generic Fri Mar 12 12:10 - 11:23  (-00:47)
reboot   system boot  5.4.0-26-generic Tue Mar  9 11:00 - 11:10 (3+00:10)
reboot   system boot  5.4.0-26-generic Mon Mar  8 15:47 - 09:59  (18:12)
reboot   system boot  5.4.0-26-generic Thu Mar  4 10:56 - 14:46 (4+03:50)
reboot   system boot  5.4.0-26-generic Sun Feb 28 15:26 - 14:46 (7+23:19)
reboot   system boot  5.4.0-26-generic Thu Feb 25 21:58 - 14:26 (2+16:27)
reboot   system boot  5.4.0-26-generic Mon Feb 22 00:29 - 14:26 (6+13:56)
reboot   system boot  5.4.0-26-generic Thu Feb 11 18:33 - 23:29 (10+04:55)
reboot   system boot  5.4.0-26-generic Fri Feb  5 00:11 - 17:33 (6+17:22)
reboot   system boot  5.4.0-26-generic Sun Jan 24 14:27 - 23:10 (11+08:43)
reboot   system boot  5.4.0-26-generic Sun Jan 10 22:39 - 23:10 (25+00:31)
reboot   system boot  5.4.0-26-generic Sun Jan 10 22:34 - 21:38  (-00:55)
reboot   system boot  5.4.0-26-generic Thu Jan  7 23:03 - 21:33 (2+22:30)
reboot   system boot  5.4.0-26-generic Wed Dec 30 11:51 - 22:02 (8+10:11)
reboot   system boot  5.4.0-26-generic Fri Dec 18 18:50 - 10:50 (11+16:00)
reboot   system boot  5.4.0-26-generic Sun Dec 13 18:37 - 17:49 (4+23:12)
reboot   system boot  5.4.0-26-generic Thu Dec  3 18:50 - 17:37 (9+22:46)
reboot   system boot  5.4.0-26-generic Wed Nov 25 11:49 - 17:50 (8+06:00)
reboot   system boot  5.4.0-26-generic Sun Nov 22 11:12 - 10:49 (2+23:36)
reboot   system boot  5.4.0-26-generic Sun Nov 22 11:01 - 10:12  (-00:49)
reboot   system boot  5.4.0-26-generic Sun Nov 22 10:39 - 10:01  (-00:38)
reboot   system boot  5.4.0-26-generic Sat Nov 21 13:33 - 09:38  (20:04)
reboot   system boot  4.15.0-20-generi Sat Nov 21 13:16 - 12:33  (-00:43)
reboot   system boot  4.15.0-20-generi Sat Nov 21 12:44 - 12:33  (-00:11)
reboot   system boot  4.15.0-20-generi Sat Nov 21 11:27 - 10:35  (-00:52)
reboot   system boot  4.15.0-20-generi Sat Nov  7 18:49 - 09:17 (13+14:28)
reboot   system boot  4.15.0-20-generi Sun Nov  1 23:40 - 09:17 (19+09:37)
